# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_DEVICE 0 GeForce GTX 480
# CUDA_CONTEXT 2
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR fffff685719c1c70
method,gputime,cputime,dynsmemperblock,stasmemperblock,regperthread,occupancy
_extrapolate_from_gradient_loop1D_1,40.128,13.000,0,0,16,0.667
memcpyDtoH,182.592,509.000
_limit_vertices_by_all_neighbours_loop1D_1,75.072,13.000,0,0,34,0.583
_compute_gradients_loop1D_1,78.176,7.000,0,0,30,0.667
memcpyHtoD,165.920,305.000
_extrapolate_from_gradient_loop1D_1,41.312,13.000,0,0,16,0.667
memcpyDtoH,182.240,472.000
_limit_vertices_by_all_neighbours_loop1D_1,77.952,14.000,0,0,34,0.583
_compute_gradients_loop1D_1,81.216,6.000,0,0,30,0.667
memcpyHtoD,166.144,310.000
_extrapolate_from_gradient_loop1D_1,40.704,13.000,0,0,16,0.667
memcpyDtoH,182.720,473.000
_limit_vertices_by_all_neighbours_loop1D_1,78.752,14.000,0,0,34,0.583
memcpyDtoH,122.720,325.000
memcpyDtoH,181.824,474.000
memcpyDtoH,65.344,182.000
memcpyDtoH,61.920,171.000
memcpyDtoH,182.144,506.000
memcpyDtoH,188.992,504.000
memcpyDtoH,61.536,172.000
memcpyDtoH,61.664,173.000
memcpyDtoH,181.984,469.000
memcpyDtoH,400.288,874.000
memcpyDtoH,61.344,181.000
memcpyDtoH,182.240,481.000
memcpyDtoH,195.584,496.000
memcpyDtoH,62.496,179.000
memcpyDtoH,61.824,172.000
memcpyDtoH,61.728,171.000
memcpyDtoH,181.952,473.000
memcpyDtoH,190.048,496.000
memcpyDtoH,61.632,167.000
memcpyDtoH,61.600,170.000
memcpyHtoD,112.096,218.000
memcpyHtoD,165.984,291.000
memcpyHtoD,59.008,109.000
memcpyHtoD,57.152,109.000
memcpyHtoD,166.112,293.000
memcpyHtoD,166.400,405.000
memcpyHtoD,62.272,108.000
memcpyHtoD,56.992,105.000
memcpyHtoD,166.080,293.000
memcpyHtoD,538.336,673.000
memcpyHtoD,57.280,152.000
memcpyHtoD,165.984,298.000
memcpyHtoD,167.904,310.000
memcpyHtoD,57.184,106.000
memcpyHtoD,57.088,101.000
memcpyHtoD,57.248,103.000
memcpyHtoD,166.144,295.000
memcpyHtoD,166.848,313.000
memcpyHtoD,57.152,104.000
memcpyHtoD,57.088,103.000
_compute_gradients_loop1D_1,82.432,13.000,0,0,30,0.667
memcpyHtoD,166.112,315.000
_extrapolate_from_gradient_loop1D_1,41.280,13.000,0,0,16,0.667
memcpyDtoH,182.368,511.000
_limit_vertices_by_all_neighbours_loop1D_1,72.448,13.000,0,0,34,0.583
_compute_gradients_loop1D_1,82.016,7.000,0,0,30,0.667
memcpyHtoD,166.144,306.000
_extrapolate_from_gradient_loop1D_1,40.960,12.000,0,0,16,0.667
memcpyDtoH,182.432,481.000
